id,name,startDate,durationWeeks,order,color,capability
1,Bundles,2026-04-20,14,0,#5b8cff,Sales
tyo0c0kxmmr8ua0qk,DMCCA,2026-05-11,33,1,#ffd505,
4,Customer Order Management,2026-05-18,12,2,#5b8cff,Fulfilment
tmtsot40smr8wvm0b,D365 Phase 1,2026-05-18,23,3,#4fce65,
tpkclj0j0mr97xy54,BAU / Customer First,2026-05-18,32,4,#ffd505,
t5shxwk8gmr9870nw,Digigold Physical Redemption,2026-05-25,26,5,#5b8cff,Payment
t61ka2x3fmr7tdvy8,Self Serve Address Change,2026-05-25,28,6,#5b8cff,
ts6hi9136mr97uc44,Prepaid Card Warning,2026-06-01,7,7,#dc60c3,
3,Google Merchant API,2026-06-29,6,8,#dc60c3,
tg9dxpou8mr8ww61n,D365 UAT Cycle 1,2026-06-29,7,9,#4fce65,
2,Cluedo,2026-06-29,11,10,#dc60c3,
6,PAMP Snag List,2026-06-29,11,11,#5b8cff,
tb7478xuumr7tf5bk,Website Comms Framework,2026-06-29,26,12,#ffd505,
tabracvjimr7tdvrd,Star Trek: Theme Test,2026-07-06,6,13,#dc60c3,
tugl9ov78mr985wtr,Consumer Credit: In-house,2026-07-13,13,14,#5b8cff,
tvirp5l1nmrbqybng,Agent Ordering: Impersonation,2026-07-27,2,15,#ff4853,Self Serve
t6qugwwngmr7tdw6o,Single Session Enforcement,2026-07-27,6,16,#dc60c3,
tomlws21fmr8ubrxf,GEO/AEO,2026-07-27,22,17,#ffd505,
twn6b8eshmrbqvl8j,Tooth Fairy Letter: Data,2026-08-03,4,18,#ff4853,Technology
thuhp87f7mr7tdwr4,RME Revamp,2026-08-17,5,19,#dc60c3,
tkl05o1y9mr9846vo,**Web Deployment Freeze**,2026-09-07,9,20,#a8a8a8,
5,Klarna,2026-09-14,8,21,#5b8cff,
tbnkgsvcqmriyf85t,Self Serve Cancellation Test,2026-09-21,6,22,#dedede,
tif2woxs5mr997qk8,D365 Hypercare,2026-11-02,7,23,#4fce65,
tczdkwtcomr830ylv,Wallet Repatriation,2026-12-21,1,24,#ff8b3e,
